ID;ATENCION DE PERSONAL;COBRO;COCCION;COMPROBANTE DE PAGO;PRESENTACION;PRODUCTO EQUIVOCADO;PRODUCTO FALTANTE;PUBLICIDAD;SABOR;SALUBRIDAD;STOCK;TEMPERATURA;TIEMPO DE ESPERA;CÓDIGO INCIDENCIA
2387;0;0;0;0;0;0;0;0;1;0;0;0;0;0000000010000
2588;0;0;0;0;0;0;1;0;0;0;0;0;0;0000001000000
3255;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
3455;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
3157;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
3474;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
2187813175;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
3962;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
3966;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
3976;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
2546;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
3577;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
2821;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
3042;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
2190940640;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
2692;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
3289;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
3377;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
2584;0;0;0;0;0;0;0;0;1;0;0;0;0;0000000010000
2781;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
2990;0;0;0;0;0;0;0;0;1;0;0;0;0;0000000010000
2393;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
3199;0;0;0;0;0;0;0;0;1;0;0;0;0;0000000010000
3849;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
3226;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
3303;0;0;0;0;0;0;0;0;1;0;0;0;0;0000000010000
3934;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
5764633207861481323	;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
3701;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
2751;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
3069;0;0;0;0;0;0;0;0;1;0;0;0;0;0000000010000
4415;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
3943;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
#18488489-01;0;0;0;0;1;0;0;0;0;0;0;0;0;0000100000000
3798;0;0;0;0;0;0;0;0;1;0;0;0;0;0000000010000
3584;0;0;0;0;0;0;0;0;1;0;0;0;0;0000000010000
3568;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
2421;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
3926;0;0;0;0;0;0;0;0;1;0;0;0;0;0000000010000
2347;0;0;0;0;0;0;0;0;0;1;0;0;0;0000000001000
2962;0;0;1;0;0;0;0;0;0;0;0;0;0;0010000000000
3945;0;0;0;0;1;0;0;0;0;0;0;0;0;0000100000000
5764628438149300462	;0;0;0;0;0;0;1;0;0;0;0;0;0;0000001000000
5764628539261386983	;0;0;0;0;0;0;1;0;0;0;0;0;0;0000001000000
5764628527685108198	;0;0;0;0;0;0;1;0;0;0;0;0;0;0000001000000
5764628608417071891	;0;0;0;0;0;0;1;0;0;0;0;0;0;0000001000000
5764628465903011260	;0;0;0;0;0;0;1;0;0;0;0;0;0;0000001000000
5764628613282466066	;0;0;0;0;0;0;1;0;0;0;0;0;0;0000001000000
5764628574631955211	;0;0;0;0;0;0;1;0;0;0;0;0;0;0000001000000
5764628481208028997	;0;0;0;0;0;0;1;0;0;0;0;0;0;0000001000000
5764628730932692682	;0;0;0;0;0;0;1;0;0;0;0;0;0;0000001000000
5764628771151874172	;0;0;0;0;0;0;1;0;0;0;0;0;0;0000001000000
5764628869449583457	;0;0;0;0;0;0;1;0;0;0;0;0;0;0000001000000
